competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,8186581,1599412,6053568,347379,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,7969531,1579212,6056576,331108,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,7879902,1477553,6067104,333578,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,7839212,1451802,6069888,315859,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,7814093,1427453,6061920,322629,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,7828143,1447943,6064448,313628,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,7848772,1431913,6062880,352548,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,7860532,1461693,6073248,323998,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,7829363,1457213,6052000,318179,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,7851392,1444913,6060416,344828,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,7844192,1453993,6073952,314308,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,7830213,1442004,6067680,318318,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,7808053,1430513,6060224,315929,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,7804833,1413074,6067584,322478,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,7800743,1414723,6064160,319739,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,7822383,1421804,6069344,330118,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,7862332,1467983,6068608,324178,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,6932767,1445343,5174624,308768,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,6461399,1436033,4715200,308038,1,782,256
GPU-Shared,random-0.00001,CSR,50000,50000,32,0,6462429,1427873,4708992,324059,1,782,256
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1797011,1429663,43328,312398,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1754782,1410073,31200,305349,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1765401,1411473,30528,314908,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1742322,1397533,30528,305469,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1806162,1452934,30464,313678,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1770901,1425913,30304,305948,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1764622,1420013,30144,305449,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1750841,1402893,29888,308988,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1753142,1408883,31520,304169,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1780242,1433084,30592,307549,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1762071,1413933,29920,309408,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1745332,1398123,35392,302039,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1762901,1409463,30176,314808,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1751792,1397763,30880,314999,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1782301,1431953,31232,310508,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1761222,1417513,29856,305079,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1760701,1405873,29440,315968,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1761771,1410803,31136,311498,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1742202,1397453,30368,305809,1,2048,1024
GPU-Convert,random-0.00001,CSR,50000,50000,32,0,1776561,1429763,31936,306278,1,2048,1024
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7837722,2324648,4798464,710247,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7463414,2008371,4794368,656417,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7424724,1954160,4795392,670967,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7408265,1968031,4793344,644287,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7385104,1944190,4792320,644717,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7437714,1974790,4800512,657447,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7409315,1955871,4800512,649187,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7398874,1954900,4791296,648426,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7388764,1924750,4797440,662166,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7425255,1973151,4797440,649947,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7394375,1925411,4792320,672267,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7397865,1936311,4793344,663817,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7404434,1960150,4790272,650646,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7393015,1936241,4799488,652657,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7435305,1977461,4798464,653567,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7391645,1921661,4793344,672067,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7398854,1941880,4798464,653386,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7384105,1933181,4796416,649847,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7403025,1962721,4791296,643897,1,782,256
GPU-Shared,random-0.0001,CSR,50000,50000,32,200000,7406215,1956951,4793344,650607,1,782,256
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2632967,1891811,71328,661057,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2647878,1913881,69248,656107,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2618997,1894091,68096,647477,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2614798,1887731,67360,650997,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2628557,1901911,69216,648626,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2611927,1887251,68256,647437,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2622228,1893801,67584,652417,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2611577,1885541,67808,648807,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2623407,1893151,67968,653387,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2613638,1884091,66624,653367,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2632537,1898611,65824,659127,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2628828,1894221,67904,658137,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2624217,1890381,67136,658107,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2612377,1886331,68512,648507,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2629078,1894201,69248,656897,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2631467,1898141,65824,657567,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2607528,1886921,68352,643567,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2624808,1889281,67872,658897,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2616718,1889562,68576,649077,1,2048,1024
GPU-Convert,random-0.0001,CSR,50000,50000,32,200000,2620608,1887141,68640,656127,1,2048,1024
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,14032062,4729677,6507520,2788876,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,13480816,4343129,6514688,2617808,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,13281307,4162991,6500352,2612878,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,13331787,4193960,6508544,2624048,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,13331037,4181991,6508544,2635558,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,13300577,4168120,6501376,2625558,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,13850174,4578458,6507520,2759237,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,13533846,4379810,6520832,2627478,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,13280046,4154950,6507520,2612677,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,13315317,4173900,6507520,2628018,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,13299627,4158990,6506496,2628528,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,13292037,4157870,6505472,2623998,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,13766034,4499658,6510592,2750277,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,13794844,4666768,6511616,2611777,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,11817834,4135441,5065728,2611847,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,11816794,4135030,5069824,2607478,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,11813213,4124630,5073920,2609257,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,11829074,4146201,5073920,2603618,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,12040863,4158941,5069824,2806457,1,782,256
GPU-Shared,random-0.001,CSR,50000,50000,32,2500000,12378241,4699758,5071872,2601388,1,782,256
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7310975,4203440,397152,2702307,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7217796,4119331,398432,2692157,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7221345,4125900,398880,2688817,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7259445,4152510,397824,2700067,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7214685,4116730,398048,2691307,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7230695,4128160,400768,2693077,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7647023,4148340,397696,3092575,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7249105,4149290,397760,2693837,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7241976,4134641,398496,2700807,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7932362,4704198,395584,2824266,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7195756,4114380,395168,2678828,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7173536,4102011,395616,2667718,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7217246,4133470,394432,2681838,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7163795,4097030,396512,2661427,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7177386,4101320,395104,2672428,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7220095,4133500,393344,2684737,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7186786,4079620,393408,2705808,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7230646,4132310,398560,2691398,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7233776,4130301,398016,2698097,1,2048,1024
GPU-Convert,random-0.001,CSR,50000,50000,32,2500000,7250376,4146130,400032,2696138,1,2048,1024
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,45660852,19064559,8705024,17884785,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,43242754,19128259,8720384,15388347,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,44259919,19060419,8685568,16508011,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,43629831,19048879,8675328,15900324,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,42978954,18956789,8696832,15320226,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,43082024,19006079,8691712,15378316,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,43243544,19115439,8710144,15408237,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,44158189,19031689,8722432,16399032,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,43770581,19023349,8685568,16056854,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,43114934,19030360,8677376,15400956,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,43058394,19043589,8680448,15328387,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,43305173,19068049,8699904,15532006,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,43101914,18892060,8682496,15521886,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,43058644,19058099,8681472,15312746,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,43014765,18970469,8696832,15341847,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,44166169,18982329,8689664,16488752,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,43849280,19062938,8676352,16104063,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,42992584,18970189,8695808,15321417,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,43163114,19059359,8685568,15412197,1,782,256
GPU-Shared,random-0.01,CSR,50000,50000,32,24950000,43192294,19150568,8687616,15348607,1,782,256
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39870419,19185548,4544960,16132193,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39686540,19141438,4538176,15998214,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39183172,19165828,4536256,15472435,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,40182199,19204719,4542496,16425802,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39216713,19145799,4542208,15520266,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39190013,19158249,4537216,15486196,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39899969,19078558,4652128,16161313,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39902359,19171599,4533120,16189702,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39252133,19190738,4547680,15505466,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39260563,19180979,4535328,15535546,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39948839,19113189,4544448,16282602,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39255013,19222589,4543840,15480406,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39214343,19192908,4536800,15476386,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39269472,19215578,4544032,15500866,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,40127819,19139669,4544928,16434262,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39281162,19190358,4537696,15543696,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39272173,19139839,4542656,15580686,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,40057419,19124699,4723808,16200733,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39257662,19183618,4541376,15524255,1,2048,1024
GPU-Convert,random-0.01,CSR,50000,50000,32,24950000,39256553,19219648,4545664,15482666,1,2048,1024
