competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness,num_thread_blocks,num_threads_per_block
CPU-Basic,HumanGene2,CSR,14340,14340,32,9041364,102060549,340,102059374,835,1,1,1
CPU-Basic,HumanGene2,COO,14340,14340,32,9041364,110556392,382,110554779,1231,1,1,1
GPU-PyTorch,HumanGene2,CSR,14340,14340,32,9041364,111193638,19538544,49475712,42187505,1,1,1
GPU-Shared,HumanGene2,CSR,14340,14340,32,9041364,16981878,9998192,2443968,4540268,1,225,256
GPU-Convert,HumanGene2,CSR,14340,14340,32,9041364,19683970,10769628,2844672,5994279,1,2048,1024
GPU-Preprocessing,HumanGene2,CSR,14340,14340,32,9041364,214960603,207148436,2750560,5053628,1,449,128
GPU-Dynamic,HumanGene2,CSR,14340,14340,32,9041364,217781992,209584452,2828704,5361468,1,2048,1024
GPU-cuSPARSE,HumanGene2,CSR,14340,14340,32,9041364,14555368,8441414,386688,6008898,1,1,1
CPU-Basic,ND12K,CSR,36000,36000,32,7128473,77393672,352,77392268,1052,1,1,1
CPU-Basic,ND12K,COO,36000,36000,32,7128473,80722463,263,80721125,1075,1,1,1
GPU-PyTorch,ND12K,CSR,36000,36000,32,7128473,97743358,14072297,53946528,29763683,1,1,1
GPU-Shared,ND12K,CSR,36000,36000,32,7128473,39650625,15148319,17377152,7108963,1,563,256
GPU-Convert,ND12K,CSR,36000,36000,32,7128473,26791868,15005741,4589952,7174182,1,2048,1024
GPU-Preprocessing,ND12K,CSR,36000,36000,32,7128473,88327588,76164660,5275872,6878243,1,1125,128
GPU-Dynamic,ND12K,CSR,36000,36000,32,7128473,85950096,73918592,5179168,6860211,1,2048,1024
GPU-cuSPARSE,ND12K,CSR,36000,36000,32,7128473,23309124,12893071,3379232,10392415,1,1,1
CPU-Basic,EMail-Enron,CSR,36692,36692,32,367662,4535583,170,4535000,413,1,1,1
CPU-Basic,EMail-Enron,COO,36692,36692,32,367662,4603316,195,4602910,211,1,1,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,32,367662,7701463,2907084,1757888,3029378,1,1,1
GPU-Shared,EMail-Enron,CSR,36692,36692,32,367662,12157408,4651067,6352896,1117808,1,574,256
GPU-Convert,EMail-Enron,CSR,36692,36692,32,367662,6706791,3990441,893376,1744848,1,2048,1024
GPU-Preprocessing,EMail-Enron,CSR,36692,36692,32,367662,33987800,30069999,2067519,1836462,1,1147,128
GPU-Dynamic,EMail-Enron,CSR,36692,36692,32,367662,33149894,30055873,1874144,1217453,1,2048,1024
GPU-cuSPARSE,EMail-Enron,CSR,36692,36692,32,367662,7259792,2825091,2771360,4416269,1,1,1
